frame,object_id,lat_dist,long_dist,abs_vel,rel_vel,is_cipv,lane_association,lane_right_boundary,lane_left_boundary,ego_vel,ego_acc,ego_yaw
1000000000,3703,-3.50052881240845,40.080696105957,6.07762861251831,6.07765340805054,0,2,-1.75001740455627,1.75001740455627,-2.43865979427937E-05,-0.000244946277235,-0.089780476265778
1000000000,3698,3.50004529953003,26.5644130706787,3.28844904899597,3.28847336769104,0,3,-1.75001740455627,1.75001740455627,-2.43865979427937E-05,-0.000244946277235,-0.089780476265778
1000000000,3702,-0.001196692930534,35.9017562866211,1.21154069900513,1.2115650177002,1,1,-1.75001740455627,1.75001740455627,-2.43865979427937E-05,-0.000244946277235,-0.089780476265778
1000000000,3708,0.000907589914277,76.2353820800781,1.35716640949249,1.35719084739685,0,1,-1.75001740455627,1.75001740455627,-2.43865979427937E-05,-0.000244946277235,-0.089780476265778
1000000000,3701,3.49916648864746,55.8292961120606,0.969673335552216,0.969697713851929,0,3,-1.75001740455627,1.75001740455627,-2.43865979427937E-05,-0.000244946277235,-0.089780476265778
1000000000,3705,-0.965988099575043,55.5513763427734,-7.65748336561956E-06,1.6729109120206E-05,0,1,-1.75001740455627,1.75001740455627,-2.43865979427937E-05,-0.000244946277235,-0.089780476265778
1000000000,3709,-3.50043749809265,75.4582443237305,-3.71053465642035E-05,-1.2718754078378E-05,0,2,-1.75001740455627,1.75001740455627,-2.43865979427937E-05,-0.000244946277235,-0.089780476265778
1000000000,3706,-3.50045609474182,55.8189315795898,0,2.43865979427937E-05,0,2,-1.75001740455627,1.75001740455627,-2.43865979427937E-05,-0.000244946277235,-0.089780476265778
1000050000,3703,-3.50056958198547,40.4033088684082,6.69194602966309,6.69197607040405,0,2,-1.75001740455627,1.75001740455627,-3.00075971608749E-05,-0.000112281624752,-0.089769813218445
1000050000,3698,3.50009632110596,26.7425899505615,3.69959926605225,3.69962930679321,0,3,-1.75001740455627,1.75001740455627,-3.00075971608749E-05,-0.000112281624752,-0.089769813218445
1000050000,3702,-0.001177379395813,35.9649887084961,1.30024707317352,1.3002769947052,1,1,-1.75001740455627,1.75001740455627,-3.00075971608749E-05,-0.000112281624752,-0.089769813218445
1000050000,3708,0.000457067770185,76.3076477050781,1.50984406471252,1.5098739862442,0,1,-1.75001740455627,1.75001740455627,-3.00075971608749E-05,-0.000112281624752,-0.089769813218445
1000050000,3701,3.49864721298218,55.8839836120606,1.16611313819885,1.16614305973053,0,3,-1.75001740455627,1.75001740455627,-3.00075971608749E-05,-0.000112281624752,-0.089769813218445
1000050000,3705,-0.966017663478851,55.5513763427734,-3.30131442751735E-05,-3.00554893328808E-06,0,1,-1.75001740455627,1.75001740455627,-3.00075971608749E-05,-0.000112281624752,-0.089769813218445
1000050000,3709,-3.50047779083252,75.458251953125,-3.57007993443403E-05,-5.69320081922342E-06,0,2,-1.75001740455627,1.75001740455627,-3.00075971608749E-05,-0.000112281624752,-0.089769813218445
1000050000,3706,-3.50048613548279,55.8189315795898,-1.61511816259008E-05,1.38564246299211E-05,0,2,-1.75001740455627,1.75001740455627,-3.00075971608749E-05,-0.000112281624752,-0.089769813218445
1000100000,3703,-3.50022649765015,40.7522926330566,7.15991115570068,7.15994119644165,0,2,-1.75001740455627,1.75001740455627,-3.00719639199087E-05,-1.28735700855032E-06,-0.089769813218445
1000100000,3698,3.49976325035095,26.9405555725098,4.097571849823,4.09760141372681,0,3,-1.75001740455627,1.75001740455627,-3.00719639199087E-05,-1.28735700855032E-06,-0.089769813218445
1000100000,3702,-0.001110301003791,36.0338439941406,1.43083310127258,1.43086314201355,1,1,-1.75001740455627,1.75001740455627,-3.00719639199087E-05,-1.28735700855032E-06,-0.089769813218445
1000100000,3708,0.000574569858145,76.3879776000977,1.6854385137558,1.68546867370606,0,1,-1.75001740455627,1.75001740455627,-3.00719639199087E-05,-1.28735700855032E-06,-0.089769813218445
1000100000,3701,3.49867391586304,55.9442977905273,1.22625184059143,1.2262818813324,0,3,-1.75001740455627,1.75001740455627,-3.00719639199087E-05,-1.28735700855032E-06,-0.089769813218445
1000100000,3705,-0.966017663478851,55.5513725280762,-4.21449876739644E-05,-1.20730201160768E-05,0,1,-1.75001740455627,1.75001740455627,-3.00719639199087E-05,-1.28735700855032E-06,-0.089769813218445
1000100000,3709,-3.50047779083252,75.458251953125,-1.02347785286838E-05,1.98371872102143E-05,0,2,-1.75001740455627,1.75001740455627,-3.00719639199087E-05,-1.28735700855032E-06,-0.089769813218445
1000100000,3706,-3.50048613548279,55.8189315795898,-3.04344393953215E-05,-3.6247365642339E-07,0,2,-1.75001740455627,1.75001740455627,-3.00719639199087E-05,-1.28735700855032E-06,-0.089769813218445
1000150000,3703,-3.49978923797607,41.1222457885742,7.52309274673462,7.52312850952148,0,2,-1.75001740455627,1.75001740455627,-3.54560979758389E-05,-0.000107744941488,-0.089769823621418
1000150000,3698,3.49976420402527,27.1583061218262,4.49578332901001,4.49581861495972,0,3,-1.75001740455627,1.75001740455627,-3.54560979758389E-05,-0.000107744941488,-0.089769823621418
1000150000,3702,-0.001266505336389,36.1083106994629,1.5330947637558,1.53313028812408,1,1,-1.75001740455627,1.75001740455627,-3.54560979758389E-05,-0.000107744941488,-0.089769823621418
1000150000,3708,0.0009810969932,76.4785614013672,1.89133071899414,1.89136624336243,0,1,-1.75001740455627,1.75001740455627,-3.54560979758389E-05,-0.000107744941488,-0.089769823621418
